date,ticker,adj_close,industry,label,forward_return,split,str_rev_1m,str_rev_1w,str_rev_1m_volnorm,str_rev_1m_ind_rank,fold,predicted_up_probability,model_says_up,model_was_right
2022-06-30,AAPL,134.0294647216797,Technology,1.0,0.18131937878504134,validation,0.08142998903102283,0.011209865302854727,0.7322537127821599,0.5,6,0.5164481168635879,1,1
2022-06-30,SCHW,59.70785140991211,Financials,1.0,0.0876860578371339,validation,0.09871640668960602,-0.01853940842798707,1.0197600345994677,0.25,6,0.5238501753416114,1,1
2022-06-30,ABBV,132.40945434570312,Pharma,0.0,-0.07592336163536728,validation,-0.039289048301520246,-0.02482454150259117,-0.5317649199035881,0.125,6,0.5063892552894568,1,0
2022-06-30,MSFT,248.49151611328125,Technology,1.0,0.08246732911107912,validation,0.05532066555436976,0.007842213358575378,0.5313794770611622,0.375,6,0.5155061053127704,1,1
2022-06-30,JPM,101.31121826171875,Financials,1.0,0.023179495181286924,validation,0.14837774084731736,0.011499130013254866,1.8195203452799091,0.75,6,0.5200071861406272,1,1
2022-06-30,BMY,64.72377014160156,Pharma,0.0,-0.04389587331793554,validation,-0.0276321047619843,0.001997188149193474,-0.4462807348950499,0.375,6,0.5030891333854054,1,0
2022-06-30,MS,66.69786834716797,Financials,1.0,0.11605732317741158,validation,0.11701879130409931,-0.028254639319068575,1.1852547821489234,0.375,6,0.5230797805098361,1,1
2022-06-30,JNJ,158.16622924804688,Pharma,0.0,-0.020280578553138695,validation,0.011251450726982748,0.011966873342885487,0.1878954001052311,0.625,6,0.5029877145633754,1,0
2022-06-30,AVGO,45.51384735107422,Technology,1.0,0.10407359472012079,validation,0.15564171135672533,0.02168848530726597,1.689693357753042,0.75,6,0.5215862634579782,1,1
2022-06-30,PFE,41.95795440673828,Pharma,0.0,-0.02722277408926932,validation,0.011500591399671078,-0.04671592821138759,0.11325617330601795,0.75,6,0.4975368211990044,0,1
2022-06-30,AXP,131.96255493164062,Financials,1.0,0.10611752740250169,validation,0.17581590984529638,0.017728213580870622,1.4879601485600102,1.0,6,0.5184225070206597,1,1
2022-06-30,C,39.969425201416016,Financials,1.0,0.1400731741419552,validation,0.13892527237759877,0.00776684245031678,1.378361991674071,0.5,6,0.5247446416699483,1,1
2022-06-30,CRM,162.2332763671875,Technology,1.0,0.10870089878594302,validation,-0.029954960322188695,0.04628728548994332,-0.1491412270051595,0.125,6,0.5106058449616947,1,1
2022-06-30,AMZN,106.20999908447266,Technology,1.0,0.27473873040868657,validation,0.11645921262241288,0.05540735700517363,0.7694121406467247,0.625,6,0.5205094465765363,1,1
2022-06-30,GILD,53.881675720214844,Pharma,0.0,-0.03575480726820235,validation,0.03496736938187661,0.01230427730971273,0.5018589103490945,0.875,6,0.5003179481154995,1,0
2022-06-30,META,159.8462677001953,Technology,0.0,-0.008185908606453851,validation,0.16726934670490745,-0.01574786200268341,0.9527062758835592,0.875,6,0.5190311892052173,1,0
2022-06-30,GS,270.1972351074219,Financials,1.0,0.11803940512476929,validation,0.09126521524841058,-0.037914409151835526,0.8539970284712081,0.125,6,0.5250546391583546,1,1
2022-06-30,BAC,28.114036560058594,Financials,1.0,0.08287810488192138,validation,0.15835210310735637,0.029613351021671397,1.9839270331175756,0.875,6,0.5191322018207508,1,1
2022-07-01,ABBV,132.9627227783203,Pharma,0.0,-0.07865293679196728,validation,-0.05328026063408631,-0.00958391866645436,-0.7301199106815235,0.125,6,0.5049844071892323,1,0
2022-07-01,JNJ,159.9571533203125,Pharma,0.0,-0.0367645487645083,validation,-0.010185059465124713,0.015195630127842863,-0.16951380565998808,0.625,6,0.5000193386351989,1,0
2022-07-01,GOOGL,107.78178405761719,Technology,1.0,0.058788261544736375,validation,0.045257559332081865,0.07830043747405369,0.3756433928483573,0.25,6,0.5200494298468744,1,1
2022-07-01,JPM,102.60671997070312,Financials,0.0,-0.005484327751599571,validation,0.12208457772271508,0.02787262339123775,1.4667354128432717,0.75,6,0.516851572418587,1,0
